Nama Produk;Nama Motor;Merk Motor;Warna Motor;Tahun Pembuatan;Provinsi;Harga;Kapasitas Mesin;Rentang Harga;;;;;;;;;;;;;;;;
Honda CB 150R THN.2017;cb150r;honda;merah;2017;jakarta;9.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
Jual motor bekas merk Honda Supra X 125 Helm in;supra;honda;merah;2013;jakarta;7.750.000,00;125;<15jt;;;;;;;;;;;;;;;;
cb150r + ronin katana;cb150r;honda;hitam;2017;lampung;17.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Honda Beat FI tahun 2014;beat;honda;hitam;2014;jakarta;7.800.000,00;110;<15jt;;;;;;;;;;;;;;;;
Honda Vario 110cc tahun 2011;vario;honda;abu-abu;2011;jawa barat;7.500.000,00;110;<15jt;;;;;;;;;;;;;;;;
Honda Vario Techno 125cc tahun 2014;vario;honda;putih;2014;jawa barat;9.600.000,00;125;<15jt;;;;;;;;;;;;;;;;
Yamaha Mio M3 tahun 2015;mio;yamaha;merah;2015;jawa barat;6.800.000,00;125;<15jt;;;;;;;;;;;;;;;;
Yamaha Vixion tahun 2010;vixion;yamaha;hitam;2010;jakarta;8.300.000,00;150;<15jt;;;;;;;;;;;;;;;;
Yamaha X-Ride 125 modif genuine part;x-ride;yamaha;merah;2017;banten;13.500.000,00;125;<15jt;;;;;;;;;;;;;;;;
Honda CB150R Street Fire – Putih Merah;cb150r;honda;putih;2016;banten;14.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
JUAL CEPAT MOTOR SUZUKI SMASH;smash;suzuki;merah;2006;nusa tenggara barat;3.500.000,00;110;<15jt;;;;;;;;;;;;;;;;
Beli Motor Jogja =081.2296.3010=;nouvo;honda;hitam;2006;yogyakarta;15.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Yamaha Scorpio (Custom Scrambler);scorpio;yamaha;merah;2010;jawa barat;24.000.000,00;225;15-30jt;;;;;;;;;;;;;;;;
Jupiter MX 2013 non kopling;jupiter;yamaha;hijau;2013;jakarta;8.000.000,00;135;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Vespa PX Black Sport;vespa;vespa;hitam;1980;jawa tengah;16.500.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Japs Vintage Basic Megapro;megapro;honda;hitam;2000;jawa barat;8.500.000,00;110;<15jt;;;;;;;;;;;;;;;;
KAWASAKI NINJA 250 TAHUN 2018 KILOMETER ;ninja;kawasaki;hitam;2018;jawa barat;44.000.000,00;250;30-45jt;;;;;;;;;;;;;;;;
